名前,No/ぜんこく,No/セントラル,タイプ/0,タイプ/1,進化/0/Lv,進化/0/名前,進化/1/Lv,進化/1/名前,進化/2/Lv,進化/2/名前,種族値/H,種族値/A,種族値/B,種族値/C,種族値/D,種族値/S,種族値/平均,種族値/合計,努力値/H,努力値/A,努力値/B,努力値/C,努力値/D,努力値/S,隠しデータ/捕獲率,隠しデータ/初期なつき,隠しデータ/オス率,隠しデータ/メス率,タマゴ/歩数,タマゴ/グループ/0,タマゴ/グループ/1,特性/通常/0/名前,特性/通常/0/説明,特性/隠れ/名前,特性/隠れ/説明,特性/通常/1/名前,特性/通常/1/説明,No/マウンテン/str,No/マウンテン/num,No/ホウエン/str,No/ホウエン/num,No/コースト/str,No/コースト/num,進化/3/Lv,進化/3/名前,進化/4/Lv,進化/4/名前,進化/5/Lv,進化/5/名前,進化/6/Lv,進化/6/名前,進化/7/Lv,進化/7/名前,進化/8/Lv,進化/8/名前,特性/通常/2/名前,特性/通常/2/説明
ピチュー,172,035,でんき,,1,ピチュー,1,ピカチュウ,1,ライチュウ,20,40,15,35,35,60,34.2,205,0,0,0,0,0,1,190,70,50,50,2560,タマゴ未発見,,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,ひらいしん,『でんき』タイプの技を受けるとダメージが無効化され、逆に『とくこう』ランクが1段階上がる。またダブルバトル・トリプルバトルの時、自分以外の全てのポケモンの『でんき』タイプの技の攻撃対象が自分になる。,,,,,162,162,,,,,,,,,,,,,,,,
ピィ,173,,フェアリー,,1,ピィ,1,ピッピ,1,ピクシー,50,25,28,45,55,15,36.3,218,0,0,0,0,1,0,150,140,25,75,2560,タマゴ未発見,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,フレンドガード,自分以外の味方が受けるダメージが3/4に軽減される。(ダブルバトル・トリプルバトル用),マジックガード,直接のダメージ以外を受けない。具体的には、『どく』『やけど』状態や特性『さめはだ』『てつのトゲ』『ヘドロえき』『ゆうばく』、天気『あられ』『すなあらし』、技『あくむ』『うずしお』『からではさむ』『しめつける』『ステルスロック』『すなじごく』『どくびし』『のろい』『はじけるほのお』『ふんじん』『ほのおのうず』『ほのおのちかい』『まきつく』『まきびし』『マグマストーム』『まとわりつく』『やどりぎのタネ』によるダメージ、反動のある技による反動ダメージや失敗時に受けるダメージ、道具『いのちのたま』『くっつきバリ』『くろいヘドロ』『ゴツゴツメット』の効果によるダメージを受けない。ただし『こんらん』『じばく』『だいばくはつ』『わるあがき』などには影響しない。,,,,,,,,,,,,,,,,,,,,
ププリン,174,,ノーマル,フェアリー,1,ププリン,1,プリン,1,プクリン,90,30,15,40,20,15,35,210,1,0,0,0,0,0,170,70,25,75,2560,タマゴ未発見,,メロメロボディ,直接攻撃を受けると、30%の確率で相手を『メロメロ』状態にする。性別が同じ場合や、性別不明の場合は効果がない。／異なる性別の野生のポケモンと出会いやすくなる。,フレンドガード,自分以外の味方が受けるダメージが3/4に軽減される。(ダブルバトル・トリプルバトル用),かちき,相手の技や特性で『のうりょく』ランクが下がると、『とくこう』ランクが2段階上がる。,119,119,142,142,,,,,,,,,,,,,,,,
トゲピー,175,,フェアリー,,1,トゲピー,1,トゲチック,1,トゲキッス,35,20,65,40,65,20,40.8,245,0,0,0,0,1,0,190,70,87.5,12.5,2560,タマゴ未発見,,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,きょううん,急所ランクが1段階上がった状態となり、自分の攻撃が急所に当たりやすくなる。,てんのめぐみ,技の追加効果の発生率が2倍になる。,,,,,,,,,,,,,,,,,,,,
トゲチック,176,,フェアリー,ひこう,1,トゲピー,1,トゲチック,1,トゲキッス,55,40,85,80,105,40,67.5,405,0,0,0,0,2,0,75,70,87.5,12.5,2560,飛行,妖精,はりきり,『こうげき』が1.5倍になるが、物理攻撃の命中率が0.8倍になる。／レベルの高い野生のポケモンと出会いやすくなる。,きょううん,急所ランクが1段階上がった状態となり、自分の攻撃が急所に当たりやすくなる。,てんのめぐみ,技の追加効果の発生率が2倍になる。,,,,,,,,,,,,,,,,,,,,
ネイティ,177,,エスパー,ひこう,1,ネイティ,25,ネイティオ,,,40,50,45,70,45,70,53.3,320,0,0,0,1,0,0,190,70,50,50,5120,飛行,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックミラー,技『マジックコート』で跳ね返すことのできる技を跳ね返せる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,,,169,169,,,,,,,,,,,,,,,,
ネイティオ,178,,エスパー,ひこう,1,ネイティ,25,ネイティオ,,,65,75,70,95,70,95,78.3,470,0,0,0,1,0,1,75,70,50,50,5120,飛行,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックミラー,技『マジックコート』で跳ね返すことのできる技を跳ね返せる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,,,170,170,,,,,,,,,,,,,,,,
メリープ,179,,でんき,,1,メリープ,15,モココ,30,デンリュウ,55,40,40,65,45,35,46.7,280,0,0,0,1,0,0,235,70,50,50,5120,怪獣,陸上,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,プラス,特性『プラス』か『マイナス』のポケモンが戦闘にいると『とくこう』が1.5倍になる。,,,,,,,127,127,,,,,,,,,,,,,,
モココ,180,,でんき,,1,メリープ,15,モココ,30,デンリュウ,70,55,55,80,60,45,60.8,365,0,0,0,2,0,0,120,70,50,50,5120,怪獣,陸上,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,プラス,特性『プラス』か『マイナス』のポケモンが戦闘にいると『とくこう』が1.5倍になる。,,,,,,,128,128,,,,,,,,,,,,,,
デンリュウ,181,,でんき,,1,メリープ,15,モココ,30,デンリュウ,90,75,85,115,90,55,85,510,0,0,0,3,0,0,45,70,50,50,5120,怪獣,陸上,せいでんき,直接攻撃を受けると、30%の確率で相手を『まひ』状態にする。／『でんき』タイプの野生のポケモンと出会いやすくなる。,プラス,特性『プラス』か『マイナス』のポケモンが戦闘にいると『とくこう』が1.5倍になる。,,,,,,,129,129,,,,,,,,,,,,,,
メガデンリュウ,181,,でんき,ドラゴン,1,メリープ,15,モココ,30,デンリュウ,90,95,105,165,110,45,101.7,610,0,0,0,3,0,0,45,70,50,50,5120,怪獣,陸上,かたやぶり,相手の特性の影響を受けずに攻撃できる。ただし、攻撃後に受ける効果は消えない。,,,,,,,,,129,129,,,,,,,,,,,,,,
キレイハナ,182,108,くさ,,1,ナゾノクサ,21,クサイハナ,1,ラフレシア,75,80,95,90,100,50,81.7,490,0,0,0,0,3,0,45,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,いやしのこころ,毎ターン終了時、1/3の確率で自分以外の味方の状態異常が治る。,,,,,094,94,,,1,キレイハナ,,,,,,,,,,,,
マリル,183,042,みず,フェアリー,1,ルリリ,1,マリル,18,マリルリ,70,20,50,20,50,40,41.7,250,2,0,0,0,0,0,190,70,50,50,2560,水中1,妖精,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,そうしょく,『くさ』タイプの技を受けると技が無効化され、『こうげき』ランクが1段階上がる。,ちからもち,自分の物理技の威力が2倍になる。,,,056,56,,,,,,,,,,,,,,,,
マリルリ,184,043,みず,フェアリー,1,ルリリ,1,マリル,18,マリルリ,100,50,80,60,80,50,70,420,3,0,0,0,0,0,75,70,50,50,2560,水中1,妖精,あついしぼう,『ほのお』『こおり』タイプの技を受けた時、ダメージが半減する。,そうしょく,『くさ』タイプの技を受けると技が無効化され、『こうげき』ランクが1段階上がる。,ちからもち,自分の物理技の威力が2倍になる。,,,057,57,,,,,,,,,,,,,,,,
ウソッキー,185,,いわ,,1,ウソハチ,1,ウソッキー,,,70,100,115,30,65,30,68.3,410,0,0,2,0,0,0,65,70,50,50,5120,鉱物,,がんじょう,HPが最大の時、『ひんし』状態になるダメージを受けても必ず1残る。また、一撃で『ひんし』になる技『じわれ』『ぜったいれいど』『つのドリル』『ハサミギロチン』を受けない。,びびり,『ゴースト』『むし』『あく』タイプの技を受けた時、『すばやさ』ランクが1段階上がる。,いしあたま,技『アフロブレイク』『ウッドハンマー』『じごくぐるま』『すてみタックル』『とっしん』『フレアドライブ』『ブレイブバード』『ボルテッカー』『もろはのずつき』『ワイルドボルト』の反動を受けない。技『わるあがき』の反動は受ける。,130,130,,,,,,,,,,,,,,,,,,
ニョロトノ,186,,みず,,1,ニョロモ,25,ニョロゾ,1,ニョロボン,90,75,75,90,100,70,83.3,500,0,0,0,0,3,0,45,70,50,50,5120,水中1,,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,あめふらし,戦闘に出ると5ターンの間、天気が『あめ』になる。,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,036,36,,,,,1,ニョロトノ,,,,,,,,,,,,
ハネッコ,187,135,くさ,ひこう,1,ハネッコ,18,ポポッコ,27,ワタッコ,35,35,40,35,55,50,41.7,250,0,0,0,0,1,0,255,70,50,50,5120,妖精,植物,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,
ポポッコ,188,136,くさ,ひこう,1,ハネッコ,18,ポポッコ,27,ワタッコ,55,45,50,45,65,80,56.7,340,0,0,0,0,0,2,120,70,50,50,5120,妖精,植物,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,
ワタッコ,189,137,くさ,ひこう,1,ハネッコ,18,ポポッコ,27,ワタッコ,75,55,70,55,95,110,76.7,460,0,0,0,0,0,3,45,70,50,50,5120,妖精,植物,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,すりぬけ,相手の『リフレクター』『ひかりのかべ』『しろいきり』『しんぴのまもり』『みがわり』の効果を受けない。,リーフガード,天気が『ひざしがつよい』の時、状態異常にならない。,,,,,,,,,,,,,,,,,,,,
エイパム,190,,ノーマル,,1,エイパム,1,エテボース,,,55,70,55,40,55,85,60,360,0,0,0,0,0,1,45,70,50,50,5120,陸上,,にげあし,野生のポケモンとの戦闘の場合、必ず逃げられる。,スキルリンク,2～5回連続で当たる技が必ず5回当たる。,ものひろい,毎ターン終了時に、そのターンに相手が消費した道具を拾って自分のものにする。自分が道具を持っていない時のみ発動する。／道具を持っていない時、戦闘後に10%の確率で道具を拾ってくる。戦闘に参加しなくてもよい。レベルに応じて拾ってくる道具が変化する。,,,,,,,,,,,,,,,,,,,,
ヒマナッツ,191,,くさ,,1,ヒマナッツ,1,キマワリ,,,30,30,30,30,30,30,30,180,0,0,0,1,0,0,235,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,,,,,,,,,,,,,,,,,,
キマワリ,192,,くさ,,1,ヒマナッツ,1,キマワリ,,,75,75,55,105,85,30,70.8,425,0,0,0,2,0,0,120,70,50,50,5120,植物,,ようりょくそ,天気が『ひざしがつよい』の時、『すばやさ』が2倍になる。,はやおき,『ねむり』状態の時、ねむり状態のターン経過が2倍になり、通常より早く回復する。,サンパワー,天気が『ひざしがつよい』の時、『とくこう』が1.5倍になるが、毎ターン終了時に最大HPの1/8のダメージを受ける。,,,,,,,,,,,,,,,,,,,,
ヤンヤンマ,193,,むし,ひこう,1,ヤンヤンマ,1,メガヤンマ,,,65,65,45,75,45,95,65,390,0,0,0,0,0,1,75,70,50,50,5120,虫,,かそく,毎ターン、『すばやさ』ランクが1段階ずつ上がる。,おみとおし,戦闘に出てきた時、すべての相手の持っている道具の名前が分かる。,ふくがん,命中率が1.3倍になる。／『てもち』の先頭にいると道具を持った野生のポケモンと出会いやすくなる。,,,,,087,87,,,,,,,,,,,,,,
ウパー,194,,みず,じめん,1,ウパー,20,ヌオー,,,55,45,45,25,25,15,35,210,1,0,0,0,0,0,255,70,50,50,5120,水中1,陸上,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,てんねん,相手の『のうりょく』ランクの変化の影響を受けない。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,017,17,,,,,,,,,,,,,,,,,,
ヌオー,195,,みず,じめん,1,ウパー,20,ヌオー,,,95,85,85,65,65,35,71.7,430,2,0,0,0,0,0,90,70,50,50,5120,水中1,陸上,しめりけ,全てのポケモンは技『じばく』『だいばくはつ』及び、特性『ゆうばく』が無効になる。,てんねん,相手の『のうりょく』ランクの変化の影響を受けない。,ちょすい,『みず』タイプの技を受けるとダメージや効果はなくなり、最大HPの1/4回復する。,018,18,,,,,,,,,,,,,,,,,,
エーフィ,196,,エスパー,,1,イーブイ,1,シャワーズ,1,サンダース,65,65,60,130,95,110,87.5,525,0,0,0,2,0,0,45,70,87.5,12.5,8960,陸上,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,マジックミラー,技『マジックコート』で跳ね返すことのできる技を跳ね返せる。,,,,,,,081,81,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
ブラッキー,197,,あく,,1,イーブイ,1,シャワーズ,1,サンダース,95,65,110,60,130,65,87.5,525,0,0,0,0,2,0,45,35,87.5,12.5,8960,陸上,,シンクロ,『どく』『まひ』『やけど』状態になった時、相手も同じ状態異常になる。／同じ『せいかく』の野生のポケモンと出会いやすくなる。,せいしんりょく,相手の技で『ひるみ』状態にならない。技『きあいパンチ』には影響しない。,,,,,,,082,82,1,ブースター,1,エーフィ,1,ブラッキー,1,リーフィア,1,グレイシア,1,ニンフィア,,
